semestre,Catalunya,sexe,edat,concepte,estat,valor
S2/1998,Catalunya,total,de 0 a 15 anys,població,,933187
S2/1998,Catalunya,total,de 16 a 64 anys,població,,4161802
S2/1998,Catalunya,total,65 anys o més,població,,1041536
S2/1998,Catalunya,total,total,població,,6136525
S1/1999,Catalunya,homes,de 0 a 15 anys,població,,475167
S1/1999,Catalunya,homes,de 16 a 64 anys,població,,2087166
S1/1999,Catalunya,homes,65 anys o més,població,,439366
S1/1999,Catalunya,homes,total,població,,3001699
S1/1999,Catalunya,dones,de 0 a 15 anys,població,,451503
S1/1999,Catalunya,dones,de 16 a 64 anys,població,,2081533
S1/1999,Catalunya,dones,65 anys o més,població,,612982
S1/1999,Catalunya,dones,total,població,,3146018
S1/1999,Catalunya,total,de 0 a 15 anys,població,,926670
S1/1999,Catalunya,total,de 16 a 64 anys,població,,4168699
S1/1999,Catalunya,total,65 anys o més,població,,1052348
S1/1999,Catalunya,total,total,població,,6147717
S2/1999,Catalunya,homes,de 0 a 15 anys,població,,474028
S2/1999,Catalunya,homes,de 16 a 64 anys,població,,2091566
S2/1999,Catalunya,homes,65 anys o més,població,,442789
S2/1999,Catalunya,homes,total,població,,3008383
S2/1999,Catalunya,dones,de 0 a 15 anys,població,,449958
S2/1999,Catalunya,dones,de 16 a 64 anys,població,,2085261
S2/1999,Catalunya,dones,65 anys o més,població,,617534
S2/1999,Catalunya,dones,total,població,,3152753
S2/1999,Catalunya,total,de 0 a 15 anys,població,,923986
S2/1999,Catalunya,total,de 16 a 64 anys,població,,4176827
S2/1999,Catalunya,total,65 anys o més,població,,1060323
S2/1999,Catalunya,total,total,població,,6161136
S1/2000,Catalunya,homes,de 0 a 15 anys,població,,472847
S1/2000,Catalunya,homes,de 16 a 64 anys,població,,2095994
S1/2000,Catalunya,homes,65 anys o més,població,,446238
S1/2000,Catalunya,homes,total,població,,3015079
S1/2000,Catalunya,dones,de 0 a 15 anys,població,,448428
S1/2000,Catalunya,dones,de 16 a 64 anys,població,,2088960
S1/2000,Catalunya,dones,65 anys o més,població,,622080
S1/2000,Catalunya,dones,total,població,,3159468
S1/2000,Catalunya,total,de 0 a 15 anys,població,,921275
S1/2000,Catalunya,total,de 16 a 64 anys,població,,4184954
S1/2000,Catalunya,total,65 anys o més,població,,1068318
S1/2000,Catalunya,total,total,població,,6174547
S2/2000,Catalunya,homes,de 0 a 15 anys,població,,474771
S2/2000,Catalunya,homes,de 16 a 64 anys,població,,2112838
S2/2000,Catalunya,homes,65 anys o més,població,,449820
S2/2000,Catalunya,homes,total,població,,3037429
S2/2000,Catalunya,dones,de 0 a 15 anys,població,,449684
S2/2000,Catalunya,dones,de 16 a 64 anys,població,,2099424
S2/2000,Catalunya,dones,65 anys o més,població,,627367
S2/2000,Catalunya,dones,total,població,,3176475
S2/2000,Catalunya,total,de 0 a 15 anys,població,,924455
